"Uganda","Zambia","output_type","file_name","parm","quartile"
"33 (26 to 40)","38 (31 to 46)","cost per child, SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"111 (104 to 119)","128 (120 to 137)","cost per child, TBS1","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"88 (76 to 99)","101 (87 to 114)","cost per child, TBS2","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"74 (63 to 84)","84 (71 to 97)","incremental cost, WHO v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"78 (68 to 88)","90 (79 to 101)","incremental cost, TBS1 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"55 (41 to 68)","63 (47 to 78)","incremental cost, TBS2 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"-23 (-35 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"16.78","19.16","ICER (no discounting), WHO v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"17.55","20.35","ICER (no discounting), TBS1 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"13.64","15.72","ICER (no discounting), TBS2 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"83.28","118.1","ICER (no discounting), TBS1 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"48.74","54.17","ICER (no discounting), TBS2 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"52.72","61.8","ICER (no discounting), TBS2 v TBS1","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"41.14","46.88","ICER, WHO v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"43.01","49.78","ICER, TBS1 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"33.43","38.44","ICER, TBS2 v SOC","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"204.15","288.88","ICER, TBS1 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"119.49","132.5","ICER, TBS2 v WHO","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"129.23","151.15","ICER, TBS2 v TBS1","tICERtable_c.s.soc.CXRxga_UQ.csv","c.s.soc.CXRxga","UQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"2 (-31 to 38)","2 (-31 to 39)","100x DALYs averted, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-16 (-66 to 24)","-16 (-67 to 25)","100x DALYs averted, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-18 (-57 to 0)","-18 (-58 to 0)","100x DALYs averted, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"32 (26 to 39)","37 (30 to 45)","cost per child, SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"111 (104 to 119)","128 (120 to 137)","cost per child, TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"88 (76 to 99)","101 (87 to 114)","cost per child, TBS2","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"74 (64 to 85)","85 (72 to 97)","incremental cost, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"79 (69 to 88)","91 (80 to 102)","incremental cost, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"55 (42 to 68)","63 (48 to 78)","incremental cost, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"-23 (-35 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"16.93","19.31","ICER (no discounting), WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"17.69","20.5","ICER (no discounting), TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"13.8","15.88","ICER (no discounting), TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"83.28","118.1","ICER (no discounting), TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"48.74","54.17","ICER (no discounting), TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"52.72","61.8","ICER (no discounting), TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"41.5","47.24","ICER, WHO v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"43.37","50.14","ICER, TBS1 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"33.83","38.84","ICER, TBS2 v SOC","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"204.15","288.88","ICER, TBS1 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"119.49","132.5","ICER, TBS2 v WHO","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"129.23","151.15","ICER, TBS2 v TBS1","tICERtable_c.s.soc.exam_LQ.csv","c.s.soc.exam","LQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"2 (-31 to 38)","2 (-31 to 39)","100x DALYs averted, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-16 (-66 to 24)","-16 (-67 to 25)","100x DALYs averted, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-18 (-57 to 0)","-18 (-58 to 0)","100x DALYs averted, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"32 (26 to 39)","38 (30 to 45)","cost per child, SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"107 (98 to 115)","122 (112 to 132)","cost per child, WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"111 (104 to 119)","128 (120 to 137)","cost per child, TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"88 (76 to 99)","101 (87 to 114)","cost per child, TBS2","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"74 (63 to 85)","85 (72 to 97)","incremental cost, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"79 (69 to 88)","91 (80 to 102)","incremental cost, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"55 (42 to 68)","63 (48 to 78)","incremental cost, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"4 (-4 to 13)","6 (-3 to 16)","incremental cost, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-19 (-32 to -7)","-21 (-36 to -7)","incremental cost, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"-23 (-35 to -14)","-28 (-40 to -16)","incremental cost, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"16.89","19.28","ICER (no discounting), WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"17.65","20.46","ICER (no discounting), TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"13.75","15.84","ICER (no discounting), TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"83.28","118.1","ICER (no discounting), TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"48.74","54.17","ICER (no discounting), TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"52.72","61.8","ICER (no discounting), TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"41.39","47.15","ICER, WHO v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"43.27","50.05","ICER, TBS1 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"33.71","38.74","ICER, TBS2 v SOC","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"204.15","288.88","ICER, TBS1 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"119.49","132.5","ICER, TBS2 v WHO","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"129.23","151.15","ICER, TBS2 v TBS1","tICERtable_c.s.soc.exam_UQ.csv","c.s.soc.exam","UQ"
"15 (8 to 22)","15 (8 to 22)","100x ATT per child, SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"63 (53 to 72)","63 (53 to 72)","100x ATT per child, WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"44 (34 to 54)","44 (34 to 54)","100x ATT per child, TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"36 (27 to 45)","36 (27 to 45)","100x ATT per child, TBS2","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"12 (5 to 20)","12 (5 to 20)","% FP, SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"55 (45 to 66)","55 (45 to 66)","% FP, WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"32 (22 to 42)","32 (22 to 42)","% FP, TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"23 (14 to 32)","23 (14 to 32)","% FP, TBS2","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"75 (53 to 94)","75 (53 to 94)","% FN, SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"7 (0 to 21)","7 (0 to 21)","% FN, WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"6 (0 to 20)","6 (0 to 20)","% FN, TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"13 (0 to 31)","13 (0 to 31)","% FN, TBS2","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"48 (36 to 59)","48 (36 to 59)","100x incremental ATT, WHO v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"29 (17 to 40)","29 (17 to 40)","100x incremental ATT, TBS1 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"21 (10 to 32)","21 (10 to 32)","100x incremental ATT, TBS2 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-19 (-30 to -8)","-19 (-30 to -8)","100x incremental ATT, TBS1 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-27 (-38 to -17)","-27 (-38 to -17)","100x incremental ATT, TBS2 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-8 (-14 to -3)","-8 (-14 to -3)","100x incremental ATT, TBS2 v TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"19 (15 to 23)","19 (16 to 23)","100x deaths per child, SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"12 (11 to 14)","12 (11 to 14)","100x deaths per child, TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"13 (12 to 15)","13 (12 to 15)","100x deaths per child, TBS2","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, WHO v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-7 (-10 to -3)","-7 (-10 to -3)","100x incremental deaths, TBS1 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-6 (-10 to -3)","-6 (-10 to -3)","100x incremental deaths, TBS2 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"0 (-1 to 1)","0 (-1 to 1)","100x incremental deaths, TBS1 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"1 (-1 to 2)","1 (-1 to 2)","100x incremental deaths, TBS2 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"1 (0 to 2)","1 (0 to 2)","100x incremental deaths, TBS2 v TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"440 (216 to 685)","439 (205 to 688)","100x undiscounted LYS, WHO v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"445 (225 to 698)","444 (210 to 692)","100x undiscounted LYS, TBS1 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"400 (183 to 647)","400 (173 to 638)","100x undiscounted LYS, TBS2 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"5 (-76 to 93)","5 (-76 to 95)","100x undiscounted LYS, TBS1 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-39 (-161 to 58)","-39 (-163 to 62)","100x undiscounted LYS, TBS2 v WHO","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"-45 (-139 to 0)","-45 (-142 to 0)","100x undiscounted LYS, TBS2 v TBS1","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"179 (88 to 279)","179 (84 to 281)","100x DALYs averted, WHO v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"181 (92 to 285)","182 (86 to 283)","100x DALYs averted, TBS1 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
"163 (75 to 264)","163 (71 to 261)","100x DALYs averted, TBS2 v SOC","tICERtable_c.s.soc.reassessCXRxga_LQ.csv","c.s.soc.reassessCXRxga","LQ"
